Time (s),X (ft),Y (ft),Velocity X (ft/s),Velocity Y (ft/s),Acceleration X (ft/s²),Acceleration Y (ft/s²),Pressure [Pa]
11.95,0.00,4185.38,0.00,160.92,0.00,-34.43,89652.29155094866
11.98,0.00,4190.19,0.00,159.89,0.00,-34.40,89639.47994352062
12.01,0.00,4194.98,0.00,158.86,0.00,-34.37,89626.75222138065
12.04,0.00,4199.73,0.00,157.83,0.00,-34.34,89614.10828855181
12.07,0.00,4204.46,0.00,156.80,0.00,-34.31,89601.5480497874
12.10,0.00,4209.15,0.00,155.77,0.00,-34.28,89589.07141056834
12.13,0.00,4213.81,0.00,154.74,0.00,-34.25,89576.67827710052
12.16,0.00,4218.45,0.00,153.71,0.00,-34.23,89564.3685563118
12.19,0.00,4223.05,0.00,152.68,0.00,-34.20,89552.14215584924
12.22,0.00,4227.62,0.00,151.65,0.00,-34.17,89539.99898407687
12.25,0.00,4232.15,0.00,150.63,0.00,-34.14,89527.93895007271
12.28,0.00,4236.66,0.00,149.60,0.00,-34.12,89515.96196362641
12.31,0.00,4241.14,0.00,148.58,0.00,-34.09,89504.06793523607
12.34,0.00,4245.59,0.00,147.56,0.00,-34.06,89492.25677610659
12.37,0.00,4250.00,0.00,146.53,0.00,-34.04,89480.5283981463
12.40,0.00,4254.39,0.00,145.51,0.00,-34.01,89468.88271396483
12.43,0.00,4258.74,0.00,144.49,0.00,-33.99,89457.31963687055
12.46,0.00,4263.06,0.00,143.47,0.00,-33.96,89445.83908086813
12.49,0.00,4267.36,0.00,142.45,0.00,-33.94,89434.44096065593
12.52,0.00,4271.62,0.00,141.43,0.00,-33.91,89423.1251916238
12.55,0.00,4275.85,0.00,140.41,0.00,-33.89,89411.89168985053
12.58,0.00,4280.05,0.00,139.40,0.00,-33.86,89400.74037210147
12.61,0.00,4284.22,0.00,138.38,0.00,-33.84,89389.67115582607
12.64,0.00,4288.37,0.00,137.36,0.00,-33.81,89378.68395915593
12.67,0.00,4292.47,0.00,136.35,0.00,-33.79,89367.77870090221
12.70,0.00,4296.55,0.00,135.34,0.00,-33.76,89356.95530055302
12.73,0.00,4300.60,0.00,134.32,0.00,-33.74,89346.21367827189
12.76,0.00,4304.62,0.00,133.31,0.00,-33.72,89335.5537548948
12.79,0.00,4308.61,0.00,132.30,0.00,-33.69,89324.97545192837
12.82,0.00,4312.57,0.00,131.29,0.00,-33.67,89314.4786915477
12.85,0.00,4316.49,0.00,130.27,0.00,-33.65,89304.0633965939
12.88,0.00,4320.39,0.00,129.26,0.00,-33.62,89293.7294905721
12.91,0.00,4324.26,0.00,128.26,0.00,-33.60,89283.47689764929
12.94,0.00,4328.09,0.00,127.25,0.00,-33.58,89273.30554265219
12.97,0.00,4331.90,0.00,126.24,0.00,-33.56,89263.2153510652
13.00,0.00,4335.68,0.00,125.23,0.00,-33.54,89253.2062490281
13.03,0.00,4339.42,0.00,124.22,0.00,-33.51,89243.27816333449
13.06,0.00,4343.14,0.00,123.22,0.00,-33.49,89233.43102142918
13.09,0.00,4346.82,0.00,122.21,0.00,-33.47,89223.66475140666
13.12,0.00,4350.48,0.00,121.21,0.00,-33.45,89213.97928200863
13.15,0.00,4354.10,0.00,120.20,0.00,-33.43,89204.37454262243
13.18,0.00,4357.70,0.00,119.20,0.00,-33.41,89194.85046327897
13.21,0.00,4361.26,0.00,118.20,0.00,-33.39,89185.40697465076
13.24,0.00,4364.80,0.00,117.19,0.00,-33.37,89176.04400804985
13.27,0.00,4368.30,0.00,116.19,0.00,-33.35,89166.76149542643
13.30,0.00,4371.77,0.00,115.19,0.00,-33.33,89157.5593693662
13.33,0.00,4375.22,0.00,114.19,0.00,-33.31,89148.43756308935
13.36,0.00,4378.63,0.00,113.19,0.00,-33.29,89139.39601044789
13.39,0.00,4382.02,0.00,112.19,0.00,-33.27,89130.43464592466
13.42,0.00,4385.37,0.00,111.19,0.00,-33.25,89121.55340463093
13.45,0.00,4388.70,0.00,110.20,0.00,-33.23,89112.75222230492
13.48,0.00,4391.99,0.00,109.20,0.00,-33.21,89104.03103530972
13.51,0.00,4395.25,0.00,108.20,0.00,-33.19,89095.38978063212
13.54,0.00,4398.49,0.00,107.20,0.00,-33.17,89086.82839588038
13.57,0.00,4401.69,0.00,106.21,0.00,-33.15,89078.34681928283
13.60,0.00,4404.87,0.00,105.21,0.00,-33.14,89069.94498968587
13.63,0.00,4408.01,0.00,104.22,0.00,-33.12,89061.62284655267
13.66,0.00,4411.13,0.00,103.22,0.00,-33.10,89053.3803299613
13.69,0.00,4414.21,0.00,102.23,0.00,-33.08,89045.21738060315
13.72,0.00,4417.27,0.00,101.24,0.00,-33.07,89037.1339397814
13.75,0.00,4420.29,0.00,100.24,0.00,-33.05,89029.12994940943
13.78,0.00,4423.29,0.00,99.25,0.00,-33.03,89021.20535200916
13.81,0.00,4426.25,0.00,98.26,0.00,-33.01,89013.36009070923
13.84,0.00,4429.19,0.00,97.27,0.00,-33.00,89005.59410924428
13.87,0.00,4432.09,0.00,96.28,0.00,-32.98,88997.90735195258
13.90,0.00,4434.97,0.00,95.29,0.00,-32.96,88990.29976377488
13.93,0.00,4437.82,0.00,94.30,0.00,-32.95,88982.77129025309
13.96,0.00,4440.63,0.00,93.31,0.00,-32.93,88975.32187752858
13.99,0.00,4443.42,0.00,92.32,0.00,-32.92,88967.9514723407
14.02,0.00,4446.18,0.00,91.33,0.00,-32.90,88960.66002202553
14.05,0.00,4448.91,0.00,90.34,0.00,-32.89,88953.44747451444
14.08,0.00,4451.61,0.00,89.36,0.00,-32.87,88946.31377833251
14.11,0.00,4454.27,0.00,88.37,0.00,-32.86,88939.25888259744
14.14,0.00,4456.91,0.00,87.38,0.00,-32.84,88932.28273701794
14.17,0.00,4459.52,0.00,86.40,0.00,-32.83,88925.38529189261
14.20,0.00,4462.10,0.00,85.41,0.00,-32.81,88918.56649810827
14.23,0.00,4464.65,0.00,84.43,0.00,-32.80,88911.82630713897
14.26,0.00,4467.17,0.00,83.44,0.00,-32.78,88905.16467104478
14.29,0.00,4469.66,0.00,82.46,0.00,-32.77,88898.58154247014
14.32,0.00,4472.13,0.00,81.47,0.00,-32.75,88892.0768746428
14.35,0.00,4474.56,0.00,80.49,0.00,-32.74,88885.65062137255
14.38,0.00,4476.96,0.00,79.51,0.00,-32.73,88879.30273705025
14.41,0.00,4479.33,0.00,78.53,0.00,-32.71,88873.03317664607
14.44,0.00,4481.68,0.00,77.54,0.00,-32.70,88866.84189570877
14.47,0.00,4483.99,0.00,76.56,0.00,-32.69,88860.7288503645
14.50,0.00,4486.27,0.00,75.58,0.00,-32.67,88854.69399731515
14.53,0.00,4488.53,0.00,74.60,0.00,-32.66,88848.73729383801
14.56,0.00,4490.75,0.00,73.62,0.00,-32.65,88842.85869778389
14.59,0.00,4492.95,0.00,72.64,0.00,-32.64,88837.05816757627
14.62,0.00,4495.12,0.00,71.66,0.00,-32.63,88831.33566221048
14.65,0.00,4497.25,0.00,70.68,0.00,-32.61,88825.69114125219
14.68,0.00,4499.36,0.00,69.70,0.00,-32.60,88820.12456483666
14.71,0.00,4501.44,0.00,68.72,0.00,-32.59,88814.63589366755
14.74,0.00,4503.49,0.00,67.74,0.00,-32.58,88809.2250890158
14.77,0.00,4505.51,0.00,66.76,0.00,-32.57,88803.89211271891
14.80,0.00,4507.50,0.00,65.79,0.00,-32.56,88798.63692717963
14.83,0.00,4509.46,0.00,64.81,0.00,-32.54,88793.45949536498
14.86,0.00,4511.39,0.00,63.83,0.00,-32.53,88788.35978080567
14.89,0.00,4513.29,0.00,62.86,0.00,-32.52,88783.33774759456
14.92,0.00,4515.17,0.00,61.88,0.00,-32.51,88778.39336038628
14.95,0.00,4517.01,0.00,60.90,0.00,-32.50,88773.52658439601
14.98,0.00,4518.83,0.00,59.93,0.00,-32.49,88768.73738539836
15.02,0.00,4520.61,0.00,58.95,0.00,-32.48,88764.02572972699
15.05,0.00,4522.37,0.00,57.98,0.00,-32.47,88759.39158427353
15.08,0.00,4524.09,0.00,57.00,0.00,-32.46,88754.8349164862
15.11,0.00,4525.79,0.00,56.03,0.00,-32.45,88750.35569436995
15.14,0.00,4527.46,0.00,55.05,0.00,-32.44,88745.95388648483
15.17,0.00,4529.10,0.00,54.08,0.00,-32.44,88741.62946194541
15.20,0.00,4530.70,0.00,53.10,0.00,-32.43,88737.38239042004
15.23,0.00,4532.29,0.00,52.13,0.00,-32.42,88733.21264212998
15.26,0.00,4533.84,0.00,51.16,0.00,-32.41,88729.12018784878
15.29,0.00,4535.36,0.00,50.18,0.00,-32.40,88725.10499890125
15.32,0.00,4536.85,0.00,49.21,0.00,-32.39,88721.16704716299
15.35,0.00,4538.31,0.00,48.24,0.00,-32.38,88717.30630505939
15.38,0.00,4539.75,0.00,47.27,0.00,-32.38,88713.52274556531
15.41,0.00,4541.15,0.00,46.29,0.00,-32.37,88709.81634220369
15.44,0.00,4542.53,0.00,45.32,0.00,-32.36,88706.18706904579
15.47,0.00,4543.87,0.00,44.35,0.00,-32.35,88702.63490070972
15.50,0.00,4545.19,0.00,43.38,0.00,-32.35,88699.15981236022
15.53,0.00,4546.48,0.00,42.41,0.00,-32.34,88695.7617797078
15.56,0.00,4547.74,0.00,41.44,0.00,-32.33,88692.4407790082
15.59,0.00,4548.97,0.00,40.47,0.00,-32.33,88689.19678706198
15.62,0.00,4550.17,0.00,39.49,0.00,-32.32,88686.02978121348
15.65,0.00,4551.34,0.00,38.52,0.00,-32.31,88682.93973935055
15.68,0.00,4552.48,0.00,37.55,0.00,-32.31,88679.92663990385
15.71,0.00,4553.60,0.00,36.58,0.00,-32.30,88676.99046184644
15.74,0.00,4554.68,0.00,35.61,0.00,-32.29,88674.13118469303
15.77,0.00,4555.73,0.00,34.64,0.00,-32.29,88671.34878849969
15.80,0.00,4556.76,0.00,33.67,0.00,-32.28,88668.64325386305
15.83,0.00,4557.76,0.00,32.71,0.00,-32.28,88666.01456192009
15.86,0.00,4558.72,0.00,31.74,0.00,-32.27,88663.4626943474
15.89,0.00,4559.66,0.00,30.77,0.00,-32.27,88660.98763336084
15.92,0.00,4560.57,0.00,29.80,0.00,-32.26,88658.58936171525
15.95,0.00,4561.45,0.00,28.83,0.00,-32.26,88656.26786270348
15.98,0.00,4562.30,0.00,27.86,0.00,-32.25,88654.02312015666
16.01,0.00,4563.13,0.00,26.89,0.00,-32.25,88651.85511844327
16.04,0.00,4563.92,0.00,25.92,0.00,-32.24,88649.76384246879
16.07,0.00,4564.68,0.00,24.96,0.00,-32.24,88647.74927767567
16.10,0.00,4565.42,0.00,23.99,0.00,-32.23,88645.81141004233
16.13,0.00,4566.12,0.00,23.02,0.00,-32.23,88643.95022608362
16.16,0.00,4566.80,0.00,22.05,0.00,-32.23,88642.16571284957
16.19,0.00,4567.45,0.00,21.08,0.00,-32.22,88640.45785792598
16.22,0.00,4568.07,0.00,20.12,0.00,-32.22,88638.82664943325
16.25,0.00,4568.66,0.00,19.15,0.00,-32.22,88637.27207602654
16.28,0.00,4569.22,0.00,18.18,0.00,-32.21,88635.79412689556
16.31,0.00,4569.75,0.00,17.21,0.00,-32.21,88634.39279176401
16.34,0.00,4570.25,0.00,16.25,0.00,-32.21,88633.06806088933
16.37,0.00,4570.72,0.00,15.28,0.00,-32.21,88631.81992506275
16.40,0.00,4571.17,0.00,14.31,0.00,-32.20,88630.64837560874
16.43,0.00,4571.58,0.00,13.35,0.00,-32.20,88629.55340438508
16.46,0.00,4571.97,0.00,12.38,0.00,-32.20,88628.53500378218
16.49,0.00,4572.33,0.00,11.41,0.00,-32.20,88627.5931667233
16.52,0.00,4572.66,0.00,10.45,0.00,-32.19,88626.72788666445
16.55,0.00,4572.95,0.00,9.48,0.00,-32.19,88625.93915759378
16.58,0.00,4573.22,0.00,8.51,0.00,-32.19,88625.2269740317
16.61,0.00,4573.47,0.00,7.55,0.00,-32.19,88624.59133103084
16.64,0.00,4573.68,0.00,6.58,0.00,-32.19,88624.03222417564
16.67,0.00,4573.86,0.00,5.61,0.00,-32.19,88623.54964958249
16.70,0.00,4574.01,0.00,4.65,0.00,-32.19,88623.14360389952
16.73,0.00,4574.14,0.00,3.68,0.00,-32.19,88622.81408430636
16.76,0.00,4574.24,0.00,2.71,0.00,-32.19,88622.56108851454
16.79,0.00,4574.30,0.00,1.75,0.00,-32.19,88622.38461476676
16.82,0.00,4574.34,0.00,0.78,0.00,-32.19,88622.28466183756
